=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.functions.SimpleLinearRegression
Relation:     completed_train_-weka.filters.unsupervised.attribute.Remove-R2-3
Instances:    922
Attributes:   5
              ARM
              Excedente
              PRECIPITACAO
              TEMPERATURA
              ETo
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Linear regression on ARM

-0.06 * ARM + 8.15

Predicting 0 if attribute value is missing.

Attribute mappings:

Model attributes        	    Incoming attributes
------------------------	    ----------------
(numeric) ARM           	--> 1 (numeric) ARM
(numeric) Excedente     	--> 4 (numeric) Excedente
(numeric) PRECIPITACAO  	--> 5 (numeric) PRECIPITACAO
(numeric) TEMPERATURA   	--> 6 (numeric) TEMPERATURA
(numeric) ETo           	--> 7 (numeric) ETo


Time taken to build model: 0 seconds

=== Predictions on test set ===

inst#,actual,predicted,error
106,11.868,8.152,-3.716
107,10.054,8.152,-1.901
108,9.755,8.152,-1.603
109,10.548,8.152,-2.396
110,9.344,8.152,-1.191
111,6.973,8.152,1.179
112,7.519,8.152,0.633
113,8.852,8.152,-0.7
114,9.601,8.152,-1.449
115,11.165,8.152,-3.013
116,9.277,8.152,-1.125
117,9.112,8.152,-0.96
118,8.361,8.152,-0.209
119,6.484,8.152,1.668
120,7.994,8.152,0.159
121,8.615,8.152,-0.463
122,8.957,8.152,-0.805
123,9.578,8.152,-1.426
124,8.434,8.152,-0.282
125,8.89,8.152,-0.738
126,9.245,8.152,-1.092
127,9.885,8.152,-1.733
128,9.607,8.152,-1.454
129,8.21,8.152,-0.058
130,11.36,8.152,-3.208
131,6.692,8.152,1.46
132,9.32,8.152,-1.167
133,9.466,8.152,-1.314
134,10.687,8.152,-2.534
135,9.259,8.152,-1.107
136,10.46,8.152,-2.307
137,5.366,8.152,2.786
138,7.392,8.152,0.761
139,5.364,8.152,2.788
140,7.023,8.152,1.129
141,9.214,8.152,-1.062
142,8.586,8.152,-0.434
143,6.036,8.152,2.116
144,6.535,8.152,1.618
145,7.059,8.152,1.094
146,7.829,8.152,0.323
147,9.038,8.152,-0.886
148,6.964,8.152,1.189
149,1.302,8.152,6.851
150,4.811,8.152,3.341
151,7.85,8.152,0.302
152,3.065,8.152,5.087
153,7.427,8.152,0.725
154,7.408,8.152,0.745
155,9.752,8.152,-1.6
156,8.89,8.152,-0.737
157,6.373,8.152,1.779
158,7.316,8.152,0.836
159,7.001,8.152,1.152
160,3.634,8.152,4.519
161,7.598,8.152,0.554
162,11.837,8.152,-3.684
163,9.591,8.152,-1.439
164,10.751,8.152,-2.599
165,7.972,8.152,0.181
166,5.214,8.152,2.938
167,2.277,8.119,5.842
168,6.342,8.121,1.78
169,8.306,8.125,-0.182
170,8.313,8.128,-0.186
171,10.325,8.131,-2.194
172,10.539,8.134,-2.405
173,8.461,8.136,-0.325
174,10.752,8.138,-2.615
175,10.341,8.14,-2.202
176,11.014,8.141,-2.872
177,9.375,8.143,-1.232
178,9.253,8.144,-1.11
179,8.931,8.145,-0.787
180,7.138,8.145,1.007
181,3.908,8.146,4.238
182,3.658,8.146,4.488
183,3.328,8.146,4.819
184,3.936,6.545,2.609
185,7.711,6.702,-1.009
186,5.591,6.806,1.216
187,4.746,5.18,0.434
188,4.432,4.371,-0.061
189,3.553,3.323,-0.23
190,4.638,3.612,-1.026
191,3.149,3.557,0.409
192,2.489,3.323,0.833
193,3.924,3.323,-0.601
194,5.038,3.636,-1.402
195,5.195,3.939,-1.257
196,6.517,4.289,-2.228
197,4.361,4.507,0.146
198,5.738,4.776,-0.962
199,4.846,4.987,0.141
200,2.3,5.083,2.783
201,3.927,5.239,1.312
202,5.689,5.452,-0.237
203,5.85,5.056,-0.794
204,5.544,5.277,-0.267
205,3.901,5.422,1.521
206,4.826,5.593,0.767
207,6.834,5.816,-1.018
208,3.275,5.915,2.64
209,3.887,6.028,2.142
210,3.116,6.115,2.999
211,2.378,5.882,3.503
212,3.088,5.681,2.593
213,6.267,5.879,-0.388
214,6.797,6.076,-0.72
215,7.712,6.279,-1.432
216,7.04,6.447,-0.593
217,7.055,6.6,-0.455
218,4.771,6.696,1.925
219,2.64,4.805,2.165
220,3.162,4.943,1.781
221,2.188,5.035,2.848
222,2.245,4.845,2.601
223,2.238,4.942,2.704
224,3.679,5.096,1.418
225,2.625,5.201,2.576
226,2.037,5.28,3.244
227,2.562,4.801,2.239
228,1.674,4.786,3.112
229,0.965,3.947,2.982
230,1.943,3.323,1.38
231,2.412,3.323,0.911

=== Evaluation on test set ===

Time taken to test model on supplied test set: 0.08 seconds

=== Summary ===

Correlation coefficient                  0.6448
Mean absolute error                      1.4608
Root mean squared error                  1.8583
Relative absolute error                 79.1539 %
Root relative squared error             79.5867 %
Total Number of Instances              231     

